/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data for the planktonic foraminifera Globigerina bulloides of sediment core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951397, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 26.880 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	26013 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	G. bulloides δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	G. bulloides δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
6.180	4.67	25.31	25.23600	27.14900	26.27100	22.19400	26.41100	25.33900	2.26	-0.86
6.210	4.69	25.40	25.32200	27.23900	26.37100	22.25000	26.50100	25.43300	2.47	-1.07
6.240	4.71	25.50	25.40900	27.33000	26.47300	22.30600	26.59000	25.52700	2.60	-0.72
6.270	4.73	25.59	25.49500	27.42100	26.57300	22.36200	26.67900	25.62100	2.83	-0.54
6.300	4.75	25.68	25.58100	27.51200	26.67500	22.41800	26.76900	25.71500	2.53	-0.81
6.330	4.77	25.77	25.66800	27.60200	26.77600	22.47400	26.85800	25.80900	2.38	-0.82
6.360	4.79	25.87	25.75400	27.69300	26.87700	22.53100	26.94700	25.90300	2.69	-0.65
6.390	4.82	25.96	25.84000	27.78400	26.97800	22.58700	27.03700	25.99700	2.61	-0.73
6.420	4.84	26.05	25.92700	27.87500	27.07800	22.64300	27.12600	26.09100	2.47	-0.80
6.450	4.86	26.15	26.01300	27.96600	27.18000	22.69900	27.21500	26.18500	2.55	-0.95
6.480	4.88	26.24	26.09900	28.05600	27.28000	22.75500	27.30500	26.27900	2.44	-0.66
6.510	4.90	26.33	26.18600	28.14700	27.38200	22.81100	27.39400	26.37300	2.26	-1.16
6.540	4.92	26.43	26.27200	28.23800	27.48200	22.86800	27.48300	26.46700	2.12	-1.16
6.570	4.94	26.52	26.35900	28.32900	27.58400	22.92400	27.57300	26.56100	2.14	-0.99
6.600	4.96	26.61	26.44500	28.41900	27.68500	22.98000	27.66200	26.65500	2.01	-1.18
6.630	4.99	26.71	26.53200	28.51000	27.78600	23.03600	27.75100	26.74900	2.20	-1.05
6.660	5.01	26.80	26.61900	28.60200	27.88800	23.09200	27.84100	26.84300	2.15	-0.97
6.690	5.03	26.90	26.70800	28.69600	27.99300	23.14800	27.93000	26.93700	2.17	-0.96
6.720	5.05	27.00	26.79800	28.79100	28.09800	23.20500	28.01900	27.03100	2.14	-0.85
6.750	5.07	27.09	26.88800	28.88500	28.20300	23.26100	28.10900	27.12500	2.45	-0.75
6.780	5.10	27.19	26.97800	28.97900	28.30700	23.31700	28.19800	27.21900	2.03	-0.95
6.810	5.12	27.29	27.06700	29.07400	28.41200	23.37300	28.28700	27.31300	1.79	-1.32
6.840	5.14	27.38	27.15700	29.16800	28.51700	23.42900	28.37700	27.40700	2.21	-0.86
6.870	5.16	27.48	27.24700	29.26200	28.62200	23.48500	28.46600	27.50100	1.95	-0.92
6.900	5.18	27.58	27.33600	29.35600	28.72700	23.54200	28.55500	27.59500	2.24	-1.33
6.930	5.21	27.67	27.42600	29.45000	28.83100	23.59800	28.64500	27.68900	2.08	-0.83
6.960	5.23	27.77	27.51600	29.54500	28.93700	23.65400	28.73400	27.78300	1.95	-1.08
6.990	5.25	27.87	27.60500	29.63900	29.04100	23.71000	28.82300	27.87700	2.32	-0.69
7.020	5.27	27.96	27.69500	29.73300	29.14600	23.88400	28.91300	27.97100	2.23	-0.46
7.050	5.30	28.06	27.78500	29.82800	29.25100	24.05800	29.00200	28.06500	2.13	-0.79
7.080	5.32	28.16	27.87400	29.92200	29.35600	24.23200	29.09100	28.15900	2.53	-0.43
7.110	5.34	28.25	27.96400	30.01600	29.46100	24.40600	29.18100	28.25300	2.48	-0.73
7.140	5.36	28.35	28.05400	30.11000	29.56500	24.58000	29.27000	28.34700	2.65	-0.47
7.170	5.38	28.45	28.14300	30.20500	29.67000	24.75500	29.35900	28.44100	2.63	-0.48
7.200	5.41	28.54	28.23300	30.29900	29.77500	24.92900	29.44900	28.53500	2.54	-0.56
7.230	5.43	28.64	28.32300	30.39300	29.88000	25.10300	29.53800	28.62900	2.55	-0.45
7.260	5.45	28.74	28.41300	30.48700	29.98500	25.27700	29.62700	28.72300	2.48	-0.68
7.290	5.47	28.83	28.50200	30.58100	30.09000	25.45100	29.71700	28.81700	2.15	-0.94
7.320	5.49	28.93	28.59200	30.67600	30.19500	25.62500	29.80600	28.91100	1.77	-1.02
7.320	5.49	28.93	28.59200	30.67600	30.19500	25.62500	29.80600	28.91100	1.76	-0.79
7.350	5.52	29.04	28.68100	30.77000	30.29900	25.79900	29.89500	29.03800	2.17	-0.89
7.380	5.54	29.15	28.77100	30.86400	30.40400	25.97300	29.98500	29.16500	2.69	-0.52
7.410	5.56	29.26	28.86100	30.95900	30.50900	26.14700	30.07400	29.29200	2.61	-0.41
7.440	5.58	29.37	28.95000	31.05300	30.61400	26.32100	30.16300	29.42000	2.78	-0.61
7.470	5.61	29.48	29.04000	31.14700	30.71900	26.49600	30.25300	29.54700	2.60	-0.52
7.500	5.63	29.59	29.13000	31.24100	30.82400	26.67000	30.34200	29.67400	2.62	-0.45
7.530	5.65	29.70	29.21900	31.33600	30.92900	26.84400	30.43100	29.80100	2.53	-0.42
7.560	5.68	29.84	29.33700	31.45900	31.06600	27.01800	30.52100	29.92800	2.46	-0.55
7.590	5.71	29.99	29.45400	31.58200	31.20300	27.19200	30.61000	30.05500	2.62	-0.54
7.620	5.74	30.13	29.57100	31.70500	31.34000	27.35100	30.69900	30.18200	2.29	-0.68
7.650	5.77	30.27	29.68800	31.82800	31.47700	27.50300	30.78900	30.31000	2.33	-0.65
7.680	5.79	30.42	29.80600	31.95200	31.61400	27.65500	30.87800	30.43700	2.05	-0.79
7.710	5.82	30.56	29.92300	32.07500	31.75100	27.80700	30.96700	30.56400	2.35	-0.48
7.740	5.85	30.70	30.04000	32.19800	31.88800	27.95900	31.05700	30.69100	2.03	-0.77
7.770	5.88	30.84	30.15700	32.32100	32.02500	28.11100	31.14600	30.82900	2.39	-0.53
7.800	5.91	30.98	30.27400	32.44400	32.16200	28.26300	31.23500	30.96800	2.39	-0.55
7.830	5.94	31.11	30.39200	32.56800	32.29900	28.41500	31.32500	31.10600	2.39	-0.55
7.860	5.97	31.25	30.50900	32.69100	32.43700	28.56700	31.41400	31.24500	2.49	-0.37
7.890	6.00	31.39	30.62700	32.81400	32.57400	28.71900	31.50300	31.38300	2.33	-0.51
7.920	6.03	31.53	30.74300	32.93700	32.71100	28.89400	31.59300	31.52200	2.13	-0.78
7.950	6.06	31.66	30.86100	33.06100	32.84800	29.07900	31.68200	31.66000	2.34	-0.32
7.980	6.08	31.80	30.97800	33.18400	32.98500	29.26400	31.77100	31.79900	2.19	-0.37
8.010	6.11	31.94	31.09500	33.30700	33.12200	29.45000	31.86100	31.93700	2.01	-0.57
8.040	6.14	32.08	31.21200	33.43000	33.25900	29.63500	31.95000	32.07600	1.95	-0.47
8.070	6.17	32.21	31.33000	33.55400	33.39600	29.82000	32.03900	32.21400	1.80	-0.61
8.100	6.20	32.35	31.44700	33.67700	33.53300	30.00600	32.12900	32.35300	1.84	-0.69
8.130	6.23	32.49	31.56400	33.80000	33.67000	30.19100	32.21800	32.49100	1.65	-0.55
8.160	6.26	32.59	31.68200	33.92300	33.80700	30.37700	32.35900	32.59400	1.78	-0.34
8.190	6.29	32.69	31.79900	34.04700	33.94500	30.56200	32.49900	32.69800	1.88	-0.46
8.220	6.32	32.80	31.91600	34.17000	34.08100	30.74700	32.64000	32.80100	2.31	-0.51
8.250	6.35	32.90	32.03300	34.29300	34.21900	30.93300	32.78100	32.90500	2.41	-0.46
8.280	6.37	33.00	32.15100	34.41600	34.35600	31.11800	32.92200	33.00800	2.59	-0.43
8.310	6.40	33.11	32.26800	34.54000	34.49300	31.30300	33.06300	33.11100	2.25	-0.61
8.340	6.43	33.21	32.38500	34.66200	34.63000	31.48900	33.20300	33.21500	2.32	-0.58
8.370	6.46	33.31	32.50200	34.78600	34.76700	31.67400	33.34400	33.31800	2.32	-0.48
8.400	6.49	33.41	32.62000	34.90900	34.90400	31.86000	33.48500	33.42100	2.30	-0.35
8.430	6.52	33.52	32.73600	35.03200	35.04100	32.04500	33.62600	33.52500	1.98	-0.39
8.460	6.55	33.62	32.85400	35.15500	35.17800	32.23000	33.76600	33.62800	1.90	-0.42
8.490	6.58	33.72	32.97100	35.27900	35.31500	32.41600	33.90700	33.73200	1.54	-0.62
8.520	6.61	33.83	33.08900	35.40200	35.45300	32.60100	33.96900	33.83500	1.46	-0.62
8.550	6.63	33.91	33.20600	35.52500	35.58900	32.78600	34.03000	33.92200	1.67	-0.77
8.580	6.66	34.00	33.32300	35.64800	35.72700	32.95300	34.09200	34.01000	2.29	-0.77
8.610	6.69	34.09	33.44000	35.77200	35.86400	33.08100	34.15400	34.09700	2.19	-0.61
8.640	6.72	34.18	33.55700	35.89500	36.00100	33.20900	34.21500	34.18500	2.06	-0.69
8.670	6.75	34.26	33.67500	36.01800	36.13800	33.33800	34.27700	34.27200	2.37	-0.69
8.700	6.78	34.35	33.79200	36.14100	36.27500	33.46600	34.33900	34.35900	2.21	-0.71
8.730	6.81	34.44	33.90900	36.26500	36.41200	33.59400	34.40000	34.44700	2.23	-0.53
8.760	6.84	34.52	34.02600	36.38800	36.54900	33.72300	34.46200	34.53400	2.24	-0.59
8.790	6.87	34.61	34.14400	36.51100	36.68600	33.85100	34.52300	34.62200	2.24	-0.46
8.820	6.90	34.70	34.26100	36.63400	36.82300	33.97900	34.58500	34.70900	2.10	-0.61
8.850	6.92	34.78	34.37800	36.75700	36.96000	34.10700	34.64700	34.79600	1.92	-0.70
8.880	6.95	34.87	34.49500	36.88100	37.09700	34.23600	34.70800	34.88400	1.71	-0.80
8.910	6.98	34.96	34.61300	37.00400	37.23500	34.36400	34.77000	34.97100	1.70	-0.67
8.940	7.01	35.05	34.73000	37.12700	37.37200	34.49200	34.83200	35.05900	1.61	-0.87
8.970	7.04	35.13	34.84700	37.25000	37.50900	34.62100	34.89300	35.14600	1.58	-0.83
9.000	7.07	35.22	34.96400	37.37400	37.64600	34.74900	34.95500	35.23300	1.40	-0.58
9.030	7.10	35.31	35.08200	37.49700	37.78300	34.87700	35.01700	35.32100	1.67	-0.36
9.060	7.13	35.39	35.19900	37.62000	37.92000	35.00600	35.07800	35.40800	1.45	-0.69
9.090	7.16	35.48	35.31600	37.74300	38.05700	35.13400	35.14000	35.49600	1.54	-0.63
9.120	7.19	35.57	35.43300	37.86600	38.19400	35.26200	35.24400	35.58300	1.53	-0.63
9.150	7.21	35.67	35.55100	37.99000	38.33100	35.39100	35.34800	35.69500	2.24	-0.67
9.180	7.24	35.77	35.66800	38.11300	38.46800	35.51900	35.45200	35.80700	2.31	-0.59
9.210	7.27	35.87	35.78500	38.23600	38.60500	35.64700	35.55600	35.91900	2.45	-0.39
9.240	7.30	35.98	35.90200	38.35900	38.74300	35.77500	35.66000	36.03100	2.46	-0.57
9.270	7.33	36.08	36.01900	38.48200	38.87900	35.90400	35.76400	36.14300	2.56	-0.53
9.300	7.36	36.19	36.14600	38.61600	39.02800	36.03200	35.86800	36.25500	2.37	-0.62
9.330	7.39	36.30	36.27800	38.75400	39.18200	36.16000	35.97200	36.36700	2.26	-0.70
9.360	7.43	36.42	36.40900	38.89200	39.33600	36.28900	36.07600	36.47900	2.11	-0.77
9.390	7.46	36.53	36.54100	39.03100	39.48900	36.41700	36.18000	36.59100	2.08	-0.72
9.420	7.49	36.65	36.67200	39.16900	39.64300	36.54500	36.28400	36.70300	2.12	-0.66
9.450	7.52	36.77	36.80400	39.30700	39.79700	36.67400	36.38800	36.81500	2.15	-0.78
9.480	7.56	36.88	36.93500	39.44500	39.95100	36.80200	36.49200	36.92700	1.41	-1.19
9.510	7.59	36.99	37.06700	39.58400	40.10400	36.93000	36.59600	37.03900	1.56	-0.84
9.540	7.62	37.11	37.19800	39.72200	40.25800	37.05800	36.70000	37.15100	1.86	-0.49
9.570	7.65	37.23	37.33000	39.86000	40.41200	37.18700	36.80400	37.26300	1.64	-0.29
9.600	7.69	37.34	37.46200	39.99800	40.56600	37.31500	36.90800	37.37500	1.54	-0.59
9.630	7.72	37.46	37.59300	40.13600	40.72000	37.44300	37.01200	37.48700	1.62	-0.57
9.660	7.75	37.57	37.72500	40.27500	40.87300	37.57200	37.11600	37.59900	1.69	-0.20
9.690	7.78	37.69	37.85600	40.41300	41.02700	37.70000	37.22000	37.71100	1.62	-0.25
9.720	7.82	37.80	37.98800	40.55100	41.18100	37.82800	37.32400	37.82300	1.56	-0.39
9.750	7.85	37.92	38.11900	40.68900	41.33500	37.95700	37.42800	37.93500	1.46	-0.38
9.780	7.88	38.03	38.25100	40.82800	41.48900	38.08500	37.53200	38.04700	1.54	-0.26
9.810	7.91	38.15	38.38200	40.96600	41.64200	38.21300	37.63600	38.15900	1.50	-0.30
9.840	7.95	38.26	38.51400	41.10400	41.79600	38.34100	37.74000	38.27100	1.48	-0.79
9.870	7.98	38.38	38.64500	41.24200	41.95000	38.47000	37.84400	38.38300	1.97	-0.73
9.900	8.01	38.50	38.77700	41.38100	42.10400	38.59800	37.98200	38.50900	2.45	-0.47
9.930	8.04	38.62	38.90800	41.51900	42.25700	38.72600	38.11900	38.63600	2.34	-0.39
9.960	8.08	38.74	39.04000	41.65700	42.41100	38.85500	38.25700	38.76200	2.54	-0.74
9.990	8.11	38.86	39.17100	41.79500	42.56500	38.98300	38.39400	38.88900	2.45	-0.69
10.020	8.14	38.98	39.30300	41.93400	42.71900	39.11100	38.53200	39.01500	2.29	-0.58
10.050	8.17	39.10	39.43400	42.07200	42.87300	39.24000	38.66900	39.14100	2.33	-0.58
10.080	8.21	39.23	39.56600	42.21000	43.02600	39.36800	38.80700	39.26800	2.39	-0.72
10.110	8.24	39.35	39.69700	42.34800	43.18000	39.49600	38.94400	39.39400	2.10	-0.66
10.140	8.27	39.47	39.82900	42.48600	43.33400	39.62400	39.08200	39.52100	2.62	-0.70
10.170	8.30	39.59	39.96000	42.62500	43.48800	39.75300	39.21900	39.64700	2.48	-0.63
10.200	8.34	39.71	40.09200	42.76300	43.64100	39.88300	39.35700	39.77300	2.37	-0.59
10.230	8.37	39.83	40.22300	42.90100	43.79500	40.01200	39.49400	39.90000	2.34	-0.72
10.260	8.41	39.97	40.37500	43.06000	43.97200	40.14100	39.63200	40.02600	1.78	-0.78
10.290	8.45	40.12	40.53600	43.22900	44.16100	40.27100	39.76900	40.15300	1.81	-0.58
10.320	8.49	40.27	40.69700	43.39900	44.34900	40.40000	39.90700	40.27900	1.55	-0.70
10.350	8.53	40.41	40.85800	43.56800	44.53700	40.53000	40.04400	40.42400	1.99	-0.69
10.380	8.57	40.56	41.01900	43.73800	44.72600	40.65900	40.18200	40.56900	1.87	-0.56
10.410	8.61	40.71	41.18000	43.90700	44.91400	40.78900	40.31900	40.71400	1.95	-0.52
10.440	8.65	40.86	41.34200	44.07600	45.10300	40.91800	40.45700	40.85900	1.85	-0.78
10.500	8.73	41.16	41.66400	44.41500	45.48000	41.17700	40.73200	41.14900	2.37	-0.46
10.500	8.73	41.16	41.66400	44.41500	45.48000	41.17700	40.73200	41.14900	2.41	-0.41
10.530	8.77	41.31	41.82500	44.58500	45.66800	41.30600	40.86900	41.29400	1.43	-0.96
10.530	8.77	41.31	41.82500	44.58500	45.66800	41.30600	40.86900	41.29400	1.56	-0.56
10.560	8.80	41.45	41.98600	44.75400	45.85600	41.43600	41.00700	41.43900	1.50	-0.94
10.560	8.80	41.45	41.98600	44.75400	45.85600	41.43600	41.00700	41.43900	1.42	-0.74
10.590	8.84	41.58	42.14800	44.92400	46.04500	41.56500	41.14400	41.56600	1.63	-0.91
10.590	8.84	41.58	42.14800	44.92400	46.04500	41.56500	41.14400	41.56600	1.54	-0.89
10.620	8.88	41.70	42.30900	45.09300	46.23400	41.69500	41.28200	41.69300	2.14	-0.74
10.650	8.92	41.81	42.47000	45.26200	46.42200	41.82400	41.41900	41.80300	2.19	-0.91
10.680	8.96	41.92	42.63100	45.43100	46.61000	41.95400	41.55700	41.91300	2.33	-0.82
10.710	9.00	42.03	42.79200	45.60100	46.79900	42.08800	41.69400	42.02300	2.28	-0.97
10.740	9.04	42.14	42.95300	45.77000	46.98700	42.23000	41.83200	42.13300	2.23	-0.90
10.770	9.08	42.30	43.11400	45.94000	47.17600	42.37300	41.96900	42.27500	2.12	-0.84
10.800	9.12	42.45	43.27600	46.10900	47.36400	42.51600	42.10700	42.41700	2.07	-0.96
10.830	9.16	42.59	43.43200	46.27300	47.54700	42.65800	42.24400	42.55800	2.13	-0.86
10.860	9.20	42.73	43.57800	46.42700	47.71700	42.80100	42.38200	42.70000	1.81	-1.00
10.890	9.23	42.87	43.72400	46.58000	47.88800	42.94400	42.51900	42.84200	1.75	-0.58
10.920	9.27	43.01	43.87000	46.73400	48.05900	43.08600	42.65700	42.98400	1.78	-0.64
10.950	9.31	43.14	44.01600	46.88700	48.23000	43.22900	42.79400	43.12500	1.39	-0.73
10.950	9.31	43.14	44.01600	46.88700	48.23000	43.22900	42.79400	43.12500	1.40	-0.77
10.980	9.34	43.28	44.16200	47.04100	48.40100	43.37200	42.93200	43.26700	1.03	-1.22
10.980	9.34	43.28	44.16200	47.04100	48.40100	43.37200	42.93200	43.26700	1.02	-1.17
11.010	9.38	43.37	44.30800	47.19400	48.57100	43.51500	43.07500	43.36300	1.31	-0.79
11.010	9.38	43.37	44.30800	47.19400	48.57100	43.51500	43.07500	43.36300	1.25	-0.90
11.040	9.41	43.47	44.45400	47.34800	48.74200	43.65700	43.21800	43.45900	1.68	-0.99
11.070	9.45	43.56	44.60000	47.50200	48.91300	43.80000	43.36100	43.55600	1.63	-0.95
11.100	9.49	43.66	44.74700	47.65500	49.08400	43.94300	43.50400	43.65200	2.16	-1.00
11.100	9.49	43.66	44.74700	47.65500	49.08400	43.94300	43.50400	43.65200	1.93	-1.11
11.130	9.52	43.76	44.89300	47.80900	49.25500	44.08500	43.64700	43.74800	1.75	-0.91
11.160	9.56	43.85	45.03900	47.96300	49.42600	44.22800	43.79000	43.84400	2.11	-1.18
11.190	9.60	43.95	45.18500	48.11600	49.59700	44.37100	43.93300	43.94100	2.17	-1.11
11.220	9.63	44.05	45.33100	48.27000	49.76800	44.51300	44.07500	44.03700	2.17	-1.13
11.250	9.67	44.20	45.47700	48.42300	49.93900	44.65600	44.21800	44.19300	2.07	-1.06
11.280	9.70	44.36	45.62300	48.57700	50.10900	44.79900	44.36100	44.34900	1.97	-1.06
11.310	9.74	44.51	45.77000	48.73000	50.28000	44.94100	44.50400	44.50500	1.89	-0.89
11.340	9.78	44.67	45.91600	48.88400	50.45100	45.08400	44.64700	44.66100	1.95	-0.54
11.370	9.81	44.82	46.06200	49.03700	50.62200	45.22700	44.79000	44.81600	1.44	-0.78
11.400	9.85	44.98	46.20800	49.19100	50.79300	45.37000	44.93300	44.97200	1.37	-0.63
11.430	9.88	45.13	46.35400	49.34400	50.96300	45.51200	45.07600	45.12800	1.39	-0.54
11.460	9.92	45.29	46.50000	49.49800	51.13400	45.65500	45.21900	45.28400	1.53	-0.62
11.490	9.96	45.44	46.64600	49.65200	51.30500	45.79800	45.36200	45.44000	1.53	-0.52
11.500	9.97	45.49	46.69500	49.70300	51.36200	45.84500	45.41000	45.49200	1.52	-0.53
11.530	10.00	45.65	46.83900	49.85400	51.53100	45.98800	45.55200	45.64800	1.26	-0.71
11.560	10.04	45.81	46.98900	50.01200	51.70600	46.13100	45.69500	45.80400	1.35	-0.51
11.590	10.08	45.96	47.13500	50.16500	51.87600	46.27300	45.83800	45.96000	1.41	-0.40
11.620	10.11	46.12	47.28000	50.31800	52.04700	46.41600	45.98100	46.11600	1.34	-0.54
11.650	10.15	46.27	47.42600	50.47100	52.21700	46.55900	46.12400	46.27200	1.33	-0.40
11.680	10.19	46.43	47.57200	50.62400	52.38700	46.70100	46.26700	46.42700	1.36	-0.27
11.710	10.22	46.58	47.71700	50.77700	52.55800	46.84400	46.41000	46.58300	1.35	-0.48
11.740	10.26	46.74	47.86300	50.93100	52.72800	46.98700	46.55300	46.73900	1.51	-0.13
11.770	10.29	46.89	48.00900	51.08400	52.89800	47.12900	46.70900	46.89500	1.41	-0.58
11.800	10.33	47.05	48.15400	51.23700	53.06900	47.27200	46.86500	47.05100	1.62	-0.78
11.830	10.37	47.36	48.30000	51.39000	53.23900	47.41500	47.02100	47.35100	2.34	-0.77
11.860	10.40	47.68	48.45000	51.54700	53.41400	47.57300	47.17700	47.65200	2.30	-0.69
11.890	10.44	47.99	48.59500	51.70000	53.58400	47.76300	47.33300	47.95200	2.33	-0.90
11.920	10.47	48.31	48.74100	51.85300	53.75500	47.95300	47.48900	48.25300	2.38	-0.64
11.950	10.51	48.62	48.88700	52.00700	53.92500	48.14300	47.64500	48.55300	2.42	-0.62
11.980	10.55	48.94	49.03200	52.16000	54.09500	48.33300	47.80100	48.85400	2.42	-0.75
12.010	10.58	49.23	49.17000	52.30400	54.25600	48.52300	47.95800	49.15400	2.41	-0.37
12.040	10.61	49.50	49.29100	52.43200	54.39800	48.71300	48.11400	49.45500	2.38	-0.41
12.040	10.61	49.50	49.29100	52.43200	54.39800	48.71300	48.11400	49.45500	2.40	-0.52
12.070	10.64	49.76	49.41300	52.56000	54.54000	48.90300	48.27000	49.75500	2.36	-0.75
12.100	10.67	50.03	49.53400	52.68700	54.68200	49.07400	48.42600	50.05400	2.03	-0.43
12.130	10.70	50.33	49.67200	52.83200	54.84300	49.20500	48.58200	50.35300	2.10	-0.55
12.160	10.74	50.63	49.80900	52.97600	55.00400	49.33600	48.73800	50.65100	2.06	-0.47
12.190	10.77	50.94	49.95100	53.12500	55.16900	49.46800	48.89400	50.95000	1.63	-0.32
12.190	10.77	50.94	49.95100	53.12500	55.16900	49.46800	48.89400	50.95000	1.79	-0.05
12.220	10.81	51.24	50.08900	53.27000	55.33000	49.59900	49.05000	51.24900	2.00	-0.27
12.250	10.84	51.54	50.22600	53.41400	55.49100	49.73100	49.20600	51.54700	1.60	-0.34
